snl_name;material_id
Gold;Me.Au
Copper;Me.Cu
Silver;Me.Ag
Coal;
Zinc;Me.Zn
Lead;Me.Pb
Iron Ore;O.Fe
U3O8;Me.UO
Nickel;Me.Ni
Diamonds;Nm.dia
Molybdenum;Me.Mo
Cobalt;Me.Co
Platinum;Me.Pt
Palladium;Me.Pd
Rhodium;Me.Rh
Lanthanides;
Lithium;Me.Li
Tungsten;Me.W
Tin;Me.Sn
Manganese;Me.Mn
Graphite;M.gra
Phosphate;Nm.PO
Magnetite;O.Fe
Vanadium;Me.V
Potash;O.K2O
Tantalum;Me.Ta
Bauxite;O.Al
Chromite;O.Cr
Titanium;Me.Ti
Antimony;Me.Sb
Ilmenite;O.FeTiO
Niobium;Me.Nb
Zircon;O.Zr
Rutile;O.TiO
Heavy Mineral Sands;M.ins
Bismuth;Me.Bi
Arsenic;Me.As
Yttrium;Me.Y
Potassium Oxide;Me.K2O
Barite;M.bar
Rhenium;Me.Re
Scandium;Me.Sc
Magnesium;Me.Mg
Iridium;Me.Ir
Leucoxene;O.leu
Thorium;Me.Th
Cadmium;Me.Cd
Ruthenium;Me.Ru
Caesium;Me.Cs
Indium;Me.In
Tellurium;Me.Te
Beryllium;Me.Be
Spodumene;O.Li
Chromium;Me.Cr
Cerium;Me.Ce
Neodymium;Me.Nd
Iron Sand;O.Fe
Rare Earth Elements;Me.rem
Rubidium;Me.Rb
Mercury;Me.Hg
Gallium;Me.Ga
Lanthanum;Me.La
Praseodymium;Me.Pr
Dysprosium;Me.Dy
Germanium;Me.Ge
Silica;Nm.SiO
Terbium;Me.Tb
Europium;Me.Eu
Samarium;Me.Sm
Garnet;M.osm
Potassium Chloride;Me.KCl
Gadolinium;Me.Gd
Ytterbium;Me.Yb
Ferronickel;All.FeNi
Lutetium;Me.Lu
Thulium;Me.Tm
Borates;M.bor
Erbium;Me.Er
Holmium;Me.Ho
Limestone;M.lim
Osmium;Me.Os
Selenium;Me.Se
Alumina;Me.AlO
Hafnium;Me.Hf
Beryl;O.Be
Ferrochrome;All.FeCr
Ferrovanadium;All.FeV
Gypsum;M.gya
Aggregates;
Aluminum;Me.Al
Sapphire;
Strontium;Me.Sr
Emerald;
Ferrotungsten;All.FeW
Kaolin;M.AlSiO
Calcium Carbonate;Me.CaCO3
Hematite;O.Fe
Jade;Nm.jad
Platinum Group Metals;Me.opgm
Potassium Sulfate;Me.K2SO4
Topaz;M.fic
Vermiculite;M.ver
Asbestos;M.asb
Boron;Me.H3BO3
Ferromanganese;All.FeMn
Frac Sand;
Heavy Rare Earths and Yttrium;Me.rem
Marble;M.mat
Promethium;Me.Pm
Ruby;
Sodium Bicarbonate;Me.NaHCO3
