mine_fac;match;n;mine_other_names;match.other_names;n.other_names;sub_site;match.sub_site;n.sub_site
Absaloka;Absaloka Mine;1;;;;;;
Air Quality;Air Quality #1 Mine;1;Air Quality No. 1;;;;;
Amonate;Amonate Auger Ii;1;;;;;;
Antelope;Antelope Coal Mine;2;;;;;;
Bear Run;Bear Run Mine;1;;;;;;
Beckley;Beckley Pocahontas Mine;3;;;;;;
Beckley;Beckley Mine;3;;;;;;
Beckley;Beckley No. 1 Mine;3;;;;;;
Belmont;Cravat Strip-Belmont;3;Speidel, Shugert, Buttermilk, Egypt Valley Wildlife;;;;;
Belmont;Ccu Belmont Strip;3;Speidel, Shugert, Buttermilk, Egypt Valley Wildlife;;;;;
Belmont;Belmont County Strip - Fox Far;3;Speidel, Shugert, Buttermilk, Egypt Valley Wildlife;;;;;
Beulah;Beulah Mine;1;;;;;;
Big Mountain;Big Mountain No 16;6;Big Mountain/White's Branch;;;;;
Big Sky;Big Sky;1;;;;;;
Birch River;Birch River Mine;1;Eastern;;;;;
Birdwell/Miller Creek;Miller Creek Mine;;Miller Creek;;9;;;
Birdwell/Miller Creek;Miller Creek Mine-Sugar Ridge;;Miller Creek;;9;;;
Black Mesa;Black Mesa Mine;1;;;;;;
Black Thunder;Black Thunder;1;;;;;;
Buchanan;Buchanan Mine #1;1;;;;;;
Buckingham;Buckingham Mine #2;3;;;;;;
Buckingham;Buckingham Mine;3;;;;;;
Buckingham;Buckingham  Mine;3;;;;;;
Caballo;Caballo Mine;1;;;;;;
Coal Creek;Coal Creek;1;;;;;;
Colowyo;Colowyo Mine;1;;;;;;
Colstrip;Rosebud Mine & Crusher/Conveyo;;Rosebud Mine;;1;;;
Cordero Rojo;Cordero Rojo Mine;1;;;;;;
Coyote Creek;Coyote Creek Mine;1;Coyote Creek Mining Company;;;;;
Darby;D-29 Darby Fork;7;Powell Mountain, Middle Splint;;;;;
Darby;Darby # 3;7;Powell Mountain, Middle Splint;;;;;
Darby;Darby Mine No 1;7;Powell Mountain, Middle Splint;;;;;
Darby;Putney Darby Mine #1;7;Powell Mountain, Middle Splint;;;;;
Darby;Darby Road Mine #1;7;Powell Mountain, Middle Splint;;;;;
Darby;Middle Splint;7;Powell Mountain, Middle Splint;;;;;
Decker;Decker Mine;2;;;;;;
Dilworth;Dilworth;1;;;;;;
Eagle;Eagle;1;;;;;;
Eagle Pass;Eagle Pass Mine;1;Camino Real Fuels;;;;;
Emery;Emery Mine;4;;;;;;
Empire;Empire;1;;;;;;
Falkirk;Falkirk Mine;1;The Falkirk Mining Company;;;;;
Farmersburg;Farmersburg Mine;1;;;;;;
Federal;Federal No 2;2;Federal No. 2;;1;;;
Five Forks;Five Forks Mine;1;Demery Resources Company;;;;;
Flint Ridge;Flint Ridge Mine;2;;;;;;
Flint Ridge;Flint Ridge Mine #2;2;;;;;;
Francisco;Francisco Mine;2;;;;;;
Francisco;Francisco Underground Pit;2;;;;;;
Gateway North;Gateway North Mine;1;Gateway;;4;;;
Guston Run;Patriot Mining Company Inc;;Patriot Mining Company;;1;;;
Haystack;Haystack Coal Company;1;;;;;;
Hazard;Hazard Job #6;2;ICG Hazard;;;;;
Highland;Highland 9 Mine;3;Camps/ Highland, Camp;;;;;
Highland;Highland 11 Mine;3;Camps/ Highland, Camp;;;;;
Humphrey;Humphrey No. 7;2;;;;;;
Humphrey;Humphrey No. 7 Mine;2;;;;;;
Jewett;Jewett Mine;1;;;;;;
Kanawha Eagle;Guyan Mine;;Guyan;;1;;;
Kayenta;Kayenta Mine;1;;;;;;
Kemmerer;Kemmerer Mine;1;;;;;;
Keystone;Keystone East;2;;;;;;
Keystone;S11 Keystone Surface Mine;2;;;;;;
Knott County mines;Calvary No 81;1;Calvary;;3;;;
Knott County mines;Calvary No. 80;1;Calvary;;3;;;
Knott County mines;Calvary Mine;1;Calvary;;3;;;
Leer;Leer Mine;27;Tygart Valley;;;;;
Leer South/Sentinel;Leer South Mine;1;;;;;;
Liberty;Liberty;1;;;;;;
Mahoning Valley;Mahoning Valley No 36;1;;;;;;
Marshall;Marshall Mine;2;Caddo Creek Resources;;;;;
Meigs;Meigs #31 Mine;2;;;;;;
Meigs;Meigs #2 Mine;2;;;;;;
Mettiki Complex;Mountain View Mine;;Mountain View;;3;;;
Midland Trail;Midland Trail Mine No. 1;3;Blue Creek;;3;;;
Midland Trail;Midland Trail Mine No. 4;3;Blue Creek;;3;;;
Midland Trail;Midland Trail Mine No 2;3;Blue Creek;;3;;;
Midland Trail;Blue Creek No. 2 Mine;3;Blue Creek;;3;;;
Midland Trail;Blue Creek No. 1 Ug Mine;3;Blue Creek;;3;;;
Miles Branch;Miles Branch Mine;6;;;;;;
Mill Creek;Mill Creek Surface;7;;;;;;
Mill Creek;Mill Creek 1;7;;;;;;
Mill Creek;Mill Creek #1 Surface Mine;7;;;;;;
Mill Creek;Mill Creek Mining, Inc. #1 Str;7;;;;;;
Mine 84;Mine 84;1;;;;;;
